iter	Passed	Remaining
0	153	153356
1	156	77959
2	159	52940
3	161	40254
4	164	32675
5	166	27618
6	169	24047
7	172	21338
8	175	19315
9	178	17715
10	182	16436
11	185	15252
12	187	14258
13	190	13402
14	192	12650
15	194	11991
16	198	11468
17	201	11000
18	205	10585
19	207	10160
20	232	10827
21	234	10434
22	237	10075
23	239	9744
24	241	9434
25	244	9148
26	246	8886
27	250	8698
28	252	8466
29	255	8246
30	257	8043
31	259	7859
32	272	7986
33	274	7812
34	277	7652
35	279	7493
36	282	7352
37	291	7384
38	293	7242
39	296	7107
40	298	6970
41	299	6839
42	301	6712
43	303	6600
44	306	6498
45	307	6385
46	309	6276
47	311	6171
48	312	6070
49	315	5990
50	317	5911
51	319	5831
52	321	5751
53	323	5670
54	325	5591
55	326	5512
56	328	5436
57	330	5363
58	331	5292
59	333	5223
60	334	5155
61	337	5098
62	339	5044
63	341	4991
64	342	4931
65	344	4879
66	346	4825
67	348	4773
68	350	4727
69	353	4697
70	355	4651
71	357	4610
72	362	4598
73	364	4554
74	365	4508
75	367	4464
76	368	4420
77	370	4381
78	372	4339
79	373	4298
80	375	4259
81	377	4221
82	378	4176
83	380	4153
84	382	4119
85	386	4111
86	389	4084
87	393	4075
88	396	4055
89	398	4027
90	400	4000
91	403	3979
92	405	3952
93	406	3921
94	408	3890
95	410	3861
96	411	3831
97	413	3801
98	414	3772
99	416	3745
100	417	3718
101	419	3691
102	420	3665
103	422	3639
104	424	3614
105	427	3601
106	429	3583
107	430	3559
108	432	3535
109	433	3511
110	435	3487
111	437	3464
112	438	3442
113	440	3421
114	441	3400
115	443	3378
116	444	3355
117	446	3334
118	448	3323
119	450	3304
120	452	3284
121	453	3262
122	454	3243
123	456	3226
124	458	3209
125	460	3192
126	461	3172
127	463	3155
128	464	3139
129	466	3123
130	468	3107
131	472	3105
132	474	3093
133	476	3077
134	477	3062
135	479	3046
136	481	3032
137	483	3018
138	485	3008
139	487	2997
140	489	2984
141	491	2966
142	494	2962
143	496	2952
144	499	2942
145	501	2932
146	503	2922
147	506	2915
148	508	2905
149	511	2896
150	513	2886
151	519	2895
152	521	2886
153	523	2873
154	524	2860
155	526	2848
156	529	2841
157	531	2829
158	532	2818
159	534	2806
160	535	2791
161	537	2781
162	540	2777
163	543	2768
164	545	2758
165	546	2747
166	548	2736
167	550	2725
168	552	2714
169	553	2704
170	555	2694
171	557	2683
172	559	2672
173	561	2666
174	563	2657
175	565	2647
176	567	2636
177	568	2625
178	570	2616
179	571	2605
180	573	2595
181	575	2585
182	576	2575
183	578	2564
184	579	2554
185	581	2544
186	584	2540
187	586	2531
188	587	2521
189	589	2511
190	590	2502
191	592	2492
192	594	2484
193	596	2476
194	598	2469
195	600	2463
196	603	2459
197	610	2471
198	613	2469
199	615	2462
200	620	2466
201	622	2458
202	624	2450
203	625	2441
204	629	2442
205	632	2438
206	634	2431
207	638	2430
208	640	2425
209	645	2428
210	648	2425
211	652	2424
212	654	2416
213	655	2409
214	657	2401
215	659	2393
216	661	2386
217	663	2378
218	664	2371
219	666	2364
220	668	2356
221	670	2349
222	673	2344
223	676	2342
224	677	2334
225	679	2327
226	681	2320
227	687	2326
228	690	2323
229	693	2322
230	696	2319
231	699	2315
232	701	2310
233	704	2304
234	706	2300
235	711	2304
236	714	2300
237	716	2293
238	717	2285
239	719	2279
240	722	2275
241	724	2269
242	726	2262
243	728	2257
244	730	2250
245	732	2244
246	734	2239
247	736	2233
248	738	2227
249	740	2222
250	744	2220
251	746	2215
252	748	2210
253	751	2206
254	753	2200
255	754	2194
256	756	2188
257	758	2181
258	760	2175
259	762	2171
260	765	2167
261	768	2164
262	770	2159
263	772	2154
264	776	2153
265	778	2148
266	780	2143
267	782	2138
268	785	2135
269	788	2131
270	790	2127
271	792	2122
272	795	2119
273	798	2115
274	800	2110
275	802	2106
276	805	2101
277	814	2114
278	816	2109
279	818	2103
280	819	2097
281	821	2091
282	823	2086
283	825	2079
284	826	2074
285	828	2068
286	832	2067
287	835	2064
288	837	2059
289	839	2055
290	841	2051
291	844	2047
292	846	2042
293	848	2037
294	850	2032
295	853	2030
296	855	2025
297	857	2019
298	858	2013
299	860	2007
300	862	2001
301	863	1995
302	865	1990
303	867	1985
304	868	1979
305	870	1973
306	871	1968
307	873	1963
308	876	1958
309	877	1954
310	879	1949
311	881	1944
312	884	1940
313	886	1936
314	887	1931
315	889	1925
316	891	1919
317	892	1914
318	894	1909
319	896	1904
320	898	1899
321	899	1894
322	901	1888
323	902	1883
324	904	1877
325	905	1872
326	907	1867
327	909	1862
328	911	1858
329	912	1853
330	914	1848
331	916	1843
332	918	1839
333	920	1835
334	922	1830
335	923	1825
336	925	1820
337	926	1815
338	928	1810
339	929	1805
340	931	1800
341	933	1795
342	935	1791
343	937	1787
344	938	1782
345	941	1779
346	943	1774
347	944	1769
348	946	1764
349	947	1759
350	949	1755
351	951	1750
352	952	1746
353	954	1742
354	956	1737
355	959	1735
356	961	1731
357	964	1729
358	967	1726
359	968	1722
360	970	1717
361	972	1713
362	973	1708
363	975	1704
364	977	1699
365	979	1696
366	981	1692
367	983	1688
368	986	1686
369	988	1683
370	991	1680
371	994	1678
372	995	1674
373	998	1671
374	1001	1668
375	1002	1664
376	1004	1659
377	1006	1655
378	1009	1653
379	1011	1649
380	1012	1645
381	1014	1641
382	1016	1637
383	1018	1634
384	1021	1631
385	1024	1629
386	1026	1626
387	1028	1623
388	1036	1627
389	1038	1623
390	1040	1619
391	1041	1615
392	1043	1612
393	1045	1608
394	1047	1603
395	1049	1600
396	1050	1596
397	1055	1595
398	1057	1592
399	1059	1588
400	1060	1584
401	1062	1580
402	1065	1578
403	1068	1575
404	1072	1576
405	1074	1572
406	1082	1577
407	1085	1574
408	1087	1571
409	1090	1568
410	1093	1566
411	1095	1562
412	1096	1559
413	1098	1555
414	1101	1552
415	1103	1548
416	1106	1546
417	1108	1543
418	1111	1540
419	1118	1544
420	1121	1542
421	1125	1540
422	1126	1537
423	1128	1533
424	1130	1529
425	1132	1525
426	1134	1522
427	1136	1519
428	1141	1518
429	1144	1516
430	1147	1514
431	1149	1511
432	1152	1509
433	1154	1505
434	1156	1502
435	1158	1498
436	1160	1494
437	1162	1491
438	1164	1487
439	1165	1483
440	1169	1481
441	1171	1478
442	1173	1475
443	1176	1472
444	1178	1470
445	1181	1468
446	1184	1465
447	1186	1462
448	1189	1459
449	1192	1458
450	1195	1455
451	1198	1452
452	1200	1449
453	1202	1446
454	1205	1443
455	1208	1441
456	1210	1438
457	1214	1436
458	1216	1434
459	1219	1431
460	1222	1429
461	1227	1429
462	1232	1429
463	1237	1429
464	1239	1426
465	1242	1423
466	1245	1421
467	1248	1418
468	1250	1415
469	1252	1412
470	1255	1410
471	1257	1407
472	1261	1406
473	1264	1403
474	1266	1399
475	1268	1396
476	1270	1392
477	1272	1389
478	1274	1385
479	1275	1382
480	1277	1378
481	1279	1375
482	1283	1373
483	1286	1371
484	1289	1369
485	1293	1368
486	1296	1365
487	1297	1361
488	1299	1358
489	1301	1354
490	1303	1350
491	1306	1348
492	1308	1345
493	1310	1341
494	1311	1338
495	1313	1334
496	1315	1331
497	1316	1327
498	1318	1324
499	1320	1320
500	1322	1317
501	1324	1314
502	1328	1312
503	1330	1309
504	1332	1305
505	1334	1302
506	1335	1298
507	1337	1295
508	1339	1292
509	1341	1288
510	1343	1285
511	1345	1281
512	1346	1278
513	1351	1277
514	1353	1274
515	1355	1271
516	1357	1268
517	1360	1265
518	1361	1262
519	1363	1258
520	1365	1255
521	1367	1251
522	1368	1248
523	1370	1245
524	1372	1242
525	1375	1239
526	1377	1236
527	1382	1235
528	1384	1232
529	1386	1229
530	1387	1225
531	1389	1222
532	1394	1221
533	1396	1218
534	1397	1214
535	1399	1211
536	1400	1207
537	1402	1204
538	1404	1200
539	1405	1197
540	1407	1193
541	1408	1190
542	1410	1186
543	1411	1183
544	1413	1179
545	1414	1176
546	1417	1174
547	1420	1171
548	1421	1168
549	1423	1164
550	1425	1161
551	1427	1158
552	1428	1154
553	1430	1151
554	1432	1148
555	1433	1144
556	1435	1141
557	1436	1138
558	1439	1135
559	1441	1132
560	1442	1129
561	1444	1125
562	1446	1123
563	1448	1119
564	1450	1116
565	1452	1113
566	1454	1111
567	1457	1108
568	1458	1105
569	1462	1103
570	1464	1100
571	1466	1097
572	1467	1093
573	1469	1090
574	1471	1087
575	1474	1085
576	1475	1081
577	1477	1078
578	1479	1075
579	1482	1073
580	1486	1071
581	1489	1069
582	1490	1066
583	1492	1063
584	1494	1060
585	1496	1056
586	1497	1053
587	1499	1050
588	1500	1047
589	1502	1044
590	1504	1040
591	1507	1038
592	1508	1035
593	1510	1032
594	1511	1029
595	1513	1025
596	1514	1022
597	1517	1020
598	1519	1017
599	1520	1013
600	1522	1010
601	1523	1007
602	1525	1004
603	1526	1001
604	1529	998
605	1532	996
606	1534	993
607	1535	990
608	1537	987
609	1539	984
610	1540	980
611	1542	977
612	1544	975
613	1546	972
614	1549	969
615	1552	967
616	1554	965
617	1556	962
618	1559	959
619	1562	957
620	1564	954
621	1567	952
622	1569	949
623	1573	948
624	1576	946
625	1579	943
626	1580	940
627	1582	937
628	1584	934
629	1586	931
630	1588	928
631	1590	926
632	1592	923
633	1597	921
634	1599	919
635	1602	917
636	1604	914
637	1606	911
638	1607	908
639	1609	905
640	1611	902
641	1613	899
642	1614	896
643	1616	893
644	1620	891
645	1622	889
646	1624	886
647	1625	883
648	1627	880
649	1629	877
650	1631	874
651	1633	871
652	1635	869
653	1637	866
654	1638	863
655	1641	861
656	1643	858
657	1645	855
658	1647	852
659	1648	849
660	1650	846
661	1651	843
662	1653	840
663	1655	837
664	1656	834
665	1658	831
666	1660	829
667	1662	826
668	1664	823
669	1666	820
670	1668	818
671	1670	815
672	1673	813
673	1675	810
674	1677	807
675	1679	804
676	1682	802
677	1686	800
678	1688	798
679	1689	795
680	1691	792
681	1693	789
682	1694	786
683	1696	783
684	1697	780
685	1699	777
686	1701	775
687	1702	772
688	1704	769
689	1706	766
690	1709	764
691	1712	762
692	1715	759
693	1717	757
694	1718	754
695	1720	751
696	1722	748
697	1723	745
698	1725	742
699	1726	740
700	1728	737
701	1731	734
702	1732	732
703	1734	729
704	1735	726
705	1737	723
706	1739	720
707	1740	718
708	1742	715
709	1744	712
710	1745	709
711	1747	706
712	1748	703
713	1751	701
714	1752	698
715	1755	696
716	1756	693
717	1759	691
718	1762	688
719	1764	686
720	1766	683
721	1767	680
722	1769	677
723	1771	675
724	1774	673
725	1776	670
726	1778	667
727	1780	665
728	1783	663
729	1785	660
730	1786	657
731	1788	654
732	1789	652
733	1791	649
734	1792	646
735	1794	643
736	1797	641
737	1799	638
738	1800	636
739	1802	633
740	1804	630
741	1806	628
742	1808	625
743	1810	622
744	1812	620
745	1815	618
746	1817	615
747	1820	613
748	1823	610
749	1825	608
750	1830	606
751	1832	604
752	1834	601
753	1835	598
754	1837	596
755	1839	593
756	1843	591
757	1846	589
758	1848	587
759	1851	584
760	1854	582
761	1856	579
762	1858	577
763	1860	574
764	1861	571
765	1866	570
766	1868	567
767	1870	565
768	1872	562
769	1875	560
770	1877	557
771	1879	554
772	1880	552
773	1882	549
774	1884	547
775	1888	545
776	1892	543
777	1896	541
778	1898	538
779	1900	536
780	1902	533
781	1903	530
782	1905	528
783	1906	525
784	1908	522
785	1911	520
786	1913	517
787	1914	515
788	1916	512
789	1917	509
790	1919	507
791	1921	504
792	1922	501
793	1924	499
794	1926	496
795	1927	494
796	1929	491
797	1930	488
798	1933	486
799	1935	483
800	1937	481
801	1939	478
802	1942	476
803	1945	474
804	1947	471
805	1949	469
806	1951	466
807	1952	464
808	1958	462
809	1960	459
810	1961	457
811	1963	454
812	1964	451
813	1966	449
814	1967	446
815	1969	444
816	1971	441
817	1973	439
818	1974	436
819	1976	433
820	1979	431
821	1980	428
822	1982	426
823	1984	423
824	1986	421
825	1987	418
826	1989	416
827	1990	413
828	1992	410
829	1994	408
830	1996	405
831	2000	403
832	2002	401
833	2004	398
834	2006	396
835	2007	393
836	2009	391
837	2011	388
838	2013	386
839	2016	384
840	2018	381
841	2026	380
842	2028	377
843	2029	375
844	2031	372
845	2033	370
846	2034	367
847	2036	364
848	2037	362
849	2039	359
850	2041	357
851	2043	354
852	2045	352
853	2047	350
854	2049	347
855	2051	345
856	2052	342
857	2055	340
858	2057	337
859	2060	335
860	2062	333
861	2064	330
862	2069	328
863	2072	326
864	2074	323
865	2076	321
866	2078	318
867	2080	316
868	2081	313
869	2084	311
870	2086	308
871	2087	306
872	2091	304
873	2093	301
874	2095	299
875	2097	296
876	2099	294
877	2101	291
878	2103	289
879	2104	287
880	2106	284
881	2108	282
882	2109	279
883	2113	277
884	2115	274
885	2117	272
886	2120	270
887	2122	267
888	2124	265
889	2126	262
890	2128	260
891	2131	258
892	2133	255
893	2137	253
894	2140	251
895	2142	248
896	2145	246
897	2147	243
898	2149	241
899	2151	239
900	2153	236
901	2155	234
902	2157	231
903	2160	229
904	2162	226
905	2164	224
906	2165	222
907	2167	219
908	2169	217
909	2170	214
910	2172	212
911	2174	209
912	2175	207
913	2177	204
914	2178	202
915	2182	200
916	2183	197
917	2185	195
918	2187	192
919	2188	190
920	2190	187
921	2191	185
922	2193	182
923	2194	180
924	2196	178
925	2197	175
926	2199	173
927	2201	170
928	2203	168
929	2205	166
930	2207	163
931	2209	161
932	2211	158
933	2212	156
934	2214	153
935	2215	151
936	2217	149
937	2219	146
938	2220	144
939	2222	141
940	2224	139
941	2226	137
942	2228	134
943	2230	132
944	2232	129
945	2233	127
946	2236	125
947	2238	122
948	2240	120
949	2241	117
950	2243	115
951	2244	113
952	2247	110
953	2249	108
954	2251	106
955	2253	103
956	2255	101
957	2258	98
958	2260	96
959	2263	94
960	2264	91
961	2266	89
962	2268	87
963	2271	84
964	2273	82
965	2274	80
966	2276	77
967	2278	75
968	2279	72
969	2281	70
970	2283	68
971	2285	65
972	2286	63
973	2289	61
974	2292	58
975	2296	56
976	2298	54
977	2300	51
978	2303	49
979	2305	47
980	2306	44
981	2308	42
982	2310	39
983	2311	37
984	2313	35
985	2316	32
986	2318	30
987	2320	28
988	2322	25
989	2324	23
990	2327	21
991	2329	18
992	2330	16
993	2332	14
994	2334	11
995	2336	9
996	2339	7
997	2341	4
998	2344	2
999	2346	0
